LocationID,borough,zone,service_zone,latitude,longitude
1,EWR,Newark Airport,EWR,40.691831206401325,-74.17400027276304
2,Queens,Jamaica Bay,Boro Zone,40.61674529165964,-73.83129854302214
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86447368477528,-73.84742223236724
4,Manhattan,Alphabet City,Yellow Zone,40.723752141584605,-73.97696825691771
5,Staten Island,Arden Heights,Boro Zone,40.552659286945484,-74.18848410184933
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.600324146034424,-74.07177055895134
7,Queens,Astoria,Boro Zone,40.761492562163575,-73.9196943194606
8,Queens,Astoria Park,Boro Zone,40.778558653750515,-73.9230861575075
9,Queens,Auburndale,Boro Zone,40.75103502557215,-73.78794887777897
10,Queens,Baisley Park,Boro Zone,40.678953310115105,-73.79098635986959
11,Brooklyn,Bath Beach,Boro Zone,40.60427284003061,-74.0074881580118
12,Manhattan,Battery Park,Yellow Zone,40.70294583498452,-74.01556351255894
13,Manhattan,Battery Park City,Yellow Zone,40.7120381570743,-74.01607915192928
14,Brooklyn,Bay Ridge,Boro Zone,40.624834923608034,-74.0298923741879
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.783333047260804,-73.7859722787769
16,Queens,Bayside,Boro Zone,40.76273837544223,-73.77342181890138
17,Brooklyn,Bedford,Boro Zone,40.69150749488049,-73.9499050350751
18,Bronx,Bedford Park,Boro Zone,40.867682456075244,-73.89018328872032
19,Queens,Bellerose,Boro Zone,40.73548677976314,-73.7266553752871
20,Bronx,Belmont,Boro Zone,40.85777967544138,-73.88586748106965
21,Brooklyn,Bensonhurst East,Boro Zone,40.60142943983495,-73.98353709672229
22,Brooklyn,Bensonhurst West,Boro Zone,40.61221825780545,-73.99525857986231
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.606447701027435,-74.17088688155239
24,Manhattan,Bloomingdale,Yellow Zone,40.80197049389944,-73.96547951516969
25,Brooklyn,Boerum Hill,Boro Zone,40.68563374132041,-73.98611382213656
26,Brooklyn,Borough Park,Boro Zone,40.63094965524529,-73.98866123078284
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.559133279467304,-73.90690832237578
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.711596357944856,-73.80872901637512
29,Brooklyn,Brighton Beach,Boro Zone,40.58092197193366,-73.96121676866859
30,Queens,Broad Channel,Boro Zone,40.603687442135495,-73.82192695679421
31,Bronx,Bronx Park,Boro Zone,40.8577466809157,-73.87547595053042
32,Bronx,Bronxdale,Boro Zone,40.86400220602343,-73.86490099876723
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69579822121106,-73.99525011996619
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.70085573851694,-73.97118869233043
35,Brooklyn,Brownsville,Boro Zone,40.66400311792584,-73.91025783136139
36,Brooklyn,Bushwick North,Boro Zone,40.700522199519014,-73.9177105313158
